Class,LCOM,LCOM Modified,WMC,CC3,MaxNest,SCC,EVG,CBO,CBO Modified,IFANIN BASE CLASSES,NOC,DIT,FANIN,FANOUT
Arquivo.java,50,50,11,11,1,12,11,7,7,2,0,1,9,8
Atividade.java,15,15,20,20,1,21,20,6,6,1,0,1,7,8
AtividadeComplementarApplication.java,19,19,2,2,0,2,2,13,13,1,0,1,24,22
AtividadeRepository.java,2,2,0,0,0,0,0,11,11,1,0,1,11,10
AuthenticationController.java,6,6,2,2,1,2,1,12,12,1,0,1,15,9
AuthenticationRequest.java,16,16,7,7,0,7,7,16,16,1,0,1,5,8
CorsFilter.java,5,5,3,3,1,5,1,12,12,1,0,1,17,12
Curso.java,25,25,12,12,1,13,12,17,17,1,0,1,18,15
DataIntegrityException.java,6,6,1,1,0,1,1,18,18,1,0,1,9,5
Estudante.java,45,45,13,14,1,18,18,8,8,1,0,1,12,8
EstudanteController.java,7,7,1,1,0,1,1,15,15,1,0,1,18,9
EstudanteRepository.java,3,3,0,0,0,0,0,6,6,1,0,1,6,4
EstudanteService.java,15,15,0,0,0,0,0,12,12,1,0,1,16,8
EstudanteServiceImpl.java,3,3,3,3,2,3,1,18,18,1,0,1,9,11
InvalidJwtAuthenticationException.java,14,14,1,1,0,1,1,17,17,1,0,1,16,15
JwtConfigurer.java,21,21,2,2,0,2,2,5,5,1,0,1,8,12
JwtTokenFilter.java,12,13,5,5,3,6,2,9,9,1,1,1,11,12
JwtTokenProvider.java,10,10,9,9,1,10,7,6,6,1,0,1,12,6
NotFoundException.java,22,22,1,1,0,1,1,7,7,1,1,1,9,5
Papel.java,10,10,5,5,0,5,5,7,7,2,0,1,15,13
ResourceExceptionHandler.java,16,16,2,2,0,2,2,6,6,1,0,1,14,7
Servidor.java,4,4,14,14,1,15,14,11,11,1,0,1,23,8
ServidorController.java,15,15,1,1,0,1,1,16,16,1,0,1,9,11
ServidorRepository.java,8,8,0,0,0,0,0,14,14,1,0,1,16,10
ServidorService.java,24,24,0,0,0,0,0,17,17,1,1,1,11,15
ServidorServiceImpl.java,22,22,3,3,2,3,1,18,18,2,0,1,11,7
ServletInitializer.java,27,27,1,1,0,1,1,15,15,1,0,1,8,15
Solicitacao.java,25,25,18,18,1,19,18,12,12,1,0,1,26,10
SolicitacaoColetiva.java,45,45,30,30,1,31,30,9,9,1,0,1,24,7
SolicitacaoColetivaController.java,11,11,4,4,0,4,4,8,8,1,0,1,19,8
SolicitacaoColetivaRepository.java,30,30,0,0,0,0,0,11,11,1,0,1,13,15
SolicitacaoColetivaService.java,17,17,0,0,0,0,0,7,7,1,0,1,5,11
SolicitacaoColetivaServiceImpl.java,12,12,12,12,4,15,8,6,6,1,0,1,5,11
SolicitacaoController.java,17,17,5,5,0,5,5,11,11,1,0,1,16,9
SolicitacaoRepository.java,11,11,0,0,0,0,0,16,16,1,0,1,7,13
SolicitacaoService.java,3,3,0,0,0,0,0,18,18,1,0,1,19,10
SolicitacaoServiceImpl.java,11,11,14,14,2,17,11,17,17,1,0,1,6,6
StandardError.java,14,14,9,9,0,9,9,8,8,1,0,1,26,13
StatusSolicitacao.java,1,1,4,4,0,4,4,18,18,1,0,1,7,8
Tipo.java,10,10,4,4,0,4,4,12,12,1,0,1,26,12
UserDetailsCustom.java,21,21,2,2,1,2,1,13,13,1,0,1,20,13
Usuario.java,13,13,12,17,2,16,14,7,7,1,0,1,5,6
UsuarioController.java,7,7,5,5,0,5,5,16,16,1,0,1,18,16
UsuarioRepository.java,11,11,0,0,0,0,0,11,11,1,0,1,24,17
UsuarioService.java,21,21,0,0,0,0,0,8,8,1,0,1,14,9
UsuarioServiceImpl.java,3,3,14,14,2,15,8,9,9,1,0,1,21,14
WebMvcConfigurer.java,1,1,1,1,0,1,1,10,10,1,0,1,24,26
WebSecurityConfig.java,15,15,2,2,0,2,2,7,7,1,0,1,16,18
