Class,LCOM,LCOM Modified,WMC,CC3,MaxNest,SCC,EVG,CBO,CBO Modified,IFANIN BASE CLASSES,NOC,DIT,FANIN,FANOUT
ItemAvaliacaoSpecification.java,32,32,6,6,6,2,1,14,14,1,0,1,16,13
ItemPreferencia.java,13,13,11,11,12,11,1,15,15,1,0,1,5,13
ItemPreferenciaControllerImpl.java,36,36,7,7,7,5,1,5,5,1,0,1,3,16
ItemPreferenciaRepository.java,0,0,0,0,0,0,0,12,12,1,0,1,16,2
ItemPreferenciaService.java,0,0,0,0,0,0,0,6,6,1,0,1,10,2
ItemPreferenciaServiceImpl.java,9,9,5,5,5,5,0,9,9,1,1,1,16,8
JwtConfigurer.java,44,44,2,2,2,2,0,8,8,1,0,1,12,13
JwtTokenFilter.java,17,17,5,5,6,2,3,10,10,1,0,1,15,15
JwtTokenProvider.java,34,34,9,9,10,7,1,12,12,1,0,1,15,14
Lotacao.java,38,38,2,2,2,2,0,15,15,1,0,1,10,8
Mapeamento.java,41,41,45,45,64,43,1,5,5,1,0,1,12,17
MapeamentoControllerImpl.java,30,30,19,19,20,15,1,5,5,1,0,1,14,17
MapeamentoRepository.java,39,39,0,0,0,0,0,9,9,1,0,1,5,8
MapeamentoService.java,9,9,0,0,0,0,0,8,8,1,0,1,4,13
MapeamentoServiceImpl.java,14,14,32,32,33,24,3,5,5,1,0,1,6,12
MinioConfig.java,38,38,16,16,16,8,2,13,13,1,0,2,12,16
MinioPorperties.java,28,28,10,10,10,10,0,7,7,1,0,1,11,4
Monitoramento.java,47,47,11,11,11,11,0,8,8,1,0,1,13,6
NivelEscolaridade.java,23,23,18,18,18,18,0,6,6,1,0,1,15,6
NivelEscolaridadeController.java,18,18,16,16,23,14,4,14,14,1,0,1,16,2
NivelEscolaridadeRepository.java,0,0,0,0,0,0,0,11,11,1,0,2,2,8
NivelEscolaridadeService.java,0,0,0,0,0,0,0,15,15,1,0,1,3,17
NivelEscolaridadeServiceImpl.java,12,12,8,8,9,5,2,6,6,1,0,1,17,6
NivelIdioma.java,13,13,6,6,6,6,0,11,11,1,0,1,6,18
NotAllowedException.java,38,38,1,1,1,1,0,11,11,1,0,1,14,5
NotaDTO.java,44,44,6,6,6,6,0,6,6,1,0,1,8,5
Perfil.java,39,39,32,32,33,32,1,14,14,1,1,1,11,7
PerfilControllerImpl.java,49,49,8,8,11,3,4,12,12,1,0,2,5,4
PerfilIdioma.java,11,11,14,14,14,14,0,5,5,1,0,1,15,3
PerfilIdiomaControllerImpl.java,23,23,13,13,15,12,4,5,5,1,0,1,16,18
PerfilIdiomaKey.java,48,48,4,4,4,4,0,8,8,1,1,1,12,13
PerfilIdiomaRepository.java,20,20,0,0,0,0,0,5,5,1,0,1,10,17
PerfilIdiomaService.java,31,31,0,0,0,0,0,14,14,1,0,1,4,8
PerfilIdiomaServiceImpl.java,32,32,7,7,7,7,0,13,13,1,0,1,2,3
PerfilPreferencia.java,22,22,9,9,9,9,0,13,13,1,0,1,9,14
PerfilPreferenciaControllerImpl.java,13,13,13,13,14,10,4,12,12,1,0,1,11,2
PerfilPreferenciaKey.java,28,28,4,4,4,4,0,12,12,1,0,1,8,8
PerfilPreferenciaRepository.java,0,0,0,0,0,0,0,13,13,1,0,1,2,4
PerfilPreferenciaService.java,0,0,0,0,0,0,0,9,9,1,0,1,8,4
PerfilPreferenciaServiceImpl.java,33,33,7,7,7,7,0,10,10,1,0,1,13,8
PerfilRepository.java,0,0,0,0,0,0,0,15,15,1,0,1,16,13
PerfilService.java,0,0,0,0,0,0,0,11,11,1,0,1,11,11
PerfilServiceImpl.java,22,22,9,9,9,7,1,7,7,1,0,1,1,8
Preferencia.java,45,45,4,4,4,4,0,13,13,1,0,1,11,16
PreferenciaControllerImpl.java,10,10,6,6,6,5,1,7,7,1,0,1,8,12
PreferenciaRepository.java,0,0,0,0,0,0,0,14,14,1,0,1,3,13
PreferenciaService.java,0,0,0,0,0,0,0,5,5,1,0,1,13,13
PreferenciaServiceImpl.java,29,29,4,4,4,4,0,5,5,1,0,1,5,13
ResourceAlreadyExistsException.java,13,13,1,1,1,1,0,5,5,1,0,1,13,9
ResourceNotFoundException.java,43,43,4,4,4,4,0,12,12,1,0,1,12,16
Responsabilidade.java,9,9,80,80,83,74,2,6,6,1,0,1,1,2
ResponsabilidadeControllerImpl.java,43,43,57,57,76,21,4,14,14,1,1,1,2,2
ResponsabilidadeFilter.java,12,12,6,6,6,6,0,15,15,1,0,1,1,14
ResponsabilidadeRepository.java,44,44,0,0,0,0,0,11,11,1,0,1,11,7
ResponsabilidadeSearch.java,5,5,8,8,8,8,0,13,13,1,0,1,9,1
ResponsabilidadeService.java,35,35,0,0,0,0,0,5,5,1,0,1,13,18
ResponsabilidadeServiceImpl.java,21,21,8,8,8,8,0,6,6,1,0,1,16,9
ResponsabilidadeSpecification.java,14,14,11,11,12,2,2,8,8,1,0,1,5,1
ServletInitializer.java,27,27,1,1,1,1,0,6,6,1,0,1,4,10
SituacaoComportamento.java,47,47,2,2,2,2,0,7,7,1,0,1,16,12
SituacaoResponsabilidade.java,26,26,2,2,2,2,0,5,5,1,0,1,7,15
StandardError.java,40,40,9,9,9,9,0,14,14,1,0,1,13,8
StatusExperienciaProfissional.java,39,39,5,5,5,5,0,8,8,1,0,1,3,1
StatusNivelEscolaridade.java,48,48,5,5,5,5,0,11,11,1,0,1,10,11
SwaggerConfig.java,16,16,3,3,3,3,0,15,15,1,0,1,11,13
TipoAreaPerfil.java,25,25,2,2,2,2,0,10,10,1,0,1,5,18
TipoCompetencia.java,36,36,2,2,2,2,0,5,5,1,0,1,6,3
TipoExperienciaProfissional.java,15,15,7,7,7,7,0,5,5,1,0,1,13,14
Unidade.java,6,6,22,22,29,22,1,14,14,1,0,1,9,1
UnidadeControllerImpl.java,31,31,32,32,37,10,3,13,13,1,0,1,4,7
UnidadeMapeada.java,6,6,11,11,11,9,1,12,12,1,0,1,6,10
UnidadeMapeadaControllerImpl.java,31,31,2,2,2,1,1,6,6,1,0,1,2,2
UnidadeMapeadaRepository.java,24,24,0,0,0,0,0,12,12,1,0,1,2,5
UnidadeMapeadaService.java,26,26,3,3,3,3,0,15,15,1,0,1,18,18
UnidadeRepository.java,36,36,0,0,0,0,0,10,10,1,0,1,15,5
UnidadeService.java,8,8,0,0,0,0,0,15,15,1,0,1,16,15
UnidadeServiceImpl.java,20,20,8,8,9,8,2,12,12,1,0,1,10,13
UserDetailsCustom.java,28,28,2,2,2,1,1,10,10,1,0,1,10,15
Usuario.java,46,46,55,55,57,55,1,9,9,1,0,1,1,14
UsuarioController.java,50,50,0,0,0,0,0,12,12,1,0,1,7,5
UsuarioControllerImpl.java,7,7,1,1,1,1,0,8,8,1,0,1,7,3
UsuarioRepository.java,0,0,0,0,0,0,0,7,7,1,0,1,11,16
UsuarioService.java,6,6,0,0,0,0,0,10,10,1,0,1,17,1
UsuarioServiceImpl.java,27,27,10,10,10,8,0,14,14,1,0,1,16,6
VinculoProfissional.java,20,20,2,2,2,2,0,11,11,1,0,1,12,3
WebMvcConfigurer.java,12,12,1,1,1,1,0,13,13,1,0,1,18,7
WebSecurityConfig.java,38,38,2,2,2,2,0,13,13,1,0,1,6,2
