Class,LCOM,LCOM Modified,WMC,CC3,MaxNest,SCC,EVG,CBO,CBO Modified,IFANIN BASE CLASSES,NOC,DIT,FANIN,FANOUT
AreaCapacitacao.java,75,75,8,8,8,8,0,7,7,1,0,1,12,13
AreaCapacitacaoControllerImpl.java,19,19,8,8,8,5,1,16,16,1,0,1,14,17
AreaCapacitacaoRepository.java,5,5,0,0,0,0,0,5,5,1,0,2,5,5
AreaCapacitacaoService.java,5,5,0,0,0,0,0,7,7,1,0,2,17,14
AreaCapacitacaoServiceImpl.java,15,15,7,7,7,7,0,13,13,1,0,1,10,10
AreaPerfil.java,9,9,8,8,8,8,0,7,7,1,0,1,11,10
AreaPerfilControllerImpl.java,12,12,9,9,9,5,1,8,8,1,0,1,8,16
AreaPerfilRepository.java,14,14,0,0,0,0,0,8,8,1,0,1,17,13
AreaPerfilService.java,8,8,0,0,0,0,0,10,10,1,0,1,7,3
AreaPerfilServiceImpl.java,43,43,7,7,7,7,0,11,11,1,0,1,6,7
ArquivoController.java,48,48,2,2,2,1,1,9,9,1,0,1,14,8
ArquivoService.java,0,0,0,0,0,0,0,12,12,1,0,1,11,12
ArquivoServiceImpl.java,48,48,5,4,6,2,1,5,5,1,0,1,10,1
AuthControllerImpl.java,25,25,9,9,9,7,1,15,15,1,0,3,14,14
AuthenticationRequest.java,27,27,7,7,7,7,0,7,7,1,0,1,7,5
Avaliacao.java,25,25,30,30,30,26,2,14,14,1,0,1,17,16
AvaliacaoComportamentalService.java,13,13,6,6,6,6,0,14,14,1,0,1,17,11
AvaliacaoController.java,0,0,0,0,0,0,0,9,9,1,0,1,10,11
AvaliacaoControllerImpl.java,27,27,40,40,50,15,3,6,6,1,0,1,1,18
AvaliacaoRepository.java,45,45,0,0,0,0,0,15,15,1,0,1,16,5
AvaliacaoService.java,39,39,58,56,66,29,6,8,8,1,0,1,10,2
AvalicaoComportamentalImpl.java,4,4,0,0,0,0,0,14,14,1,0,2,1,15
AvalicaoComportamentalRepository.java,5,5,0,0,0,0,0,15,15,1,1,1,15,17
CategoriaComportamento.java,43,43,2,2,2,2,0,6,6,1,0,1,13,14
Comissao.java,25,25,2,2,2,2,0,7,7,1,0,1,5,13
ComissaoRepository.java,5,5,0,0,0,0,0,7,7,1,0,1,5,4
ComissaoService.java,31,31,0,0,0,0,0,8,8,1,1,1,7,5
ComissaoServiceImpl.java,32,32,1,1,1,1,0,10,10,1,0,1,1,16
Competencia.java,33,33,19,19,20,19,1,13,13,1,0,1,4,2
CompetenciaAutoAvaliacaoDTO.java,6,6,7,7,7,7,0,9,9,1,0,1,15,10
CompetenciaControllerImpl.java,24,24,5,5,5,4,1,10,10,1,0,1,11,15
CompetenciaDTO.java,30,30,5,5,5,5,0,13,13,1,0,1,17,13
CompetenciaRepository.java,0,0,0,0,0,0,0,13,13,1,0,1,15,5
CompetenciaService.java,0,0,0,0,0,0,0,6,6,1,0,1,17,17
CompetenciaServiceImpl.java,27,27,5,5,5,4,1,13,13,1,0,1,14,1
Comportamento.java,5,5,26,26,27,26,0,14,14,1,0,1,18,13
ComportamentoController.java,0,0,0,0,0,0,0,9,9,1,0,1,3,3
ComportamentoControllerImpl.java,23,23,61,61,67,24,2,8,8,1,0,1,18,3
ComportamentoRepository.java,0,0,0,0,0,0,0,15,15,1,0,1,12,3
ComportamentoSearch.java,12,12,12,12,12,12,0,14,14,1,0,1,18,18
ComportamentoService.java,0,0,0,0,0,0,0,12,12,1,0,1,3,13
ComportamentoServiceImpl.java,8,8,10,10,10,10,0,15,15,1,0,1,16,12
ComportamentoSpecification.java,22,22,13,13,14,2,2,8,8,1,0,1,11,12
CorsFilter.java,20,20,3,3,6,1,1,7,7,1,0,1,12,4
CursoCapacitacao.java,38,38,18,18,19,18,1,9,9,1,0,1,8,3
CursoCapacitacaoController.java,0,0,0,0,0,0,0,7,7,1,0,1,17,1
CursoCapacitacaoControllerImpl.java,40,40,16,16,23,14,4,13,13,1,0,1,12,5
CursoCapacitacaoRepository.java,45,45,0,0,0,0,0,13,13,1,1,1,16,7
CursoCapacitacaoService.java,31,31,0,0,0,0,0,13,13,1,0,1,9,4
CursoCapacitacaoServiceImpl.java,11,11,5,5,5,5,0,13,13,1,0,1,1,18
CustomResponses.java,38,38,6,6,6,6,0,7,7,1,0,1,10,5
DesempenhoController.java,0,0,0,0,0,0,0,12,12,1,0,1,3,14
DesempenhoControllerImpl.java,32,32,21,21,24,3,5,9,9,1,0,1,2,11
Diagnostico.java,23,23,26,26,29,26,0,8,8,1,0,1,1,17
DiagnosticoController.java,2,2,0,0,0,0,0,10,10,1,0,1,2,5
DiagnosticoControllerImpl.java,39,39,17,17,17,9,1,13,13,1,0,1,8,5
DiagnosticoRepository.java,11,11,0,0,0,0,0,14,14,1,0,1,18,1
DiagnosticoService.java,2,2,0,0,0,0,0,11,11,1,0,1,14,17
DiagnosticoServiceImpl.java,38,38,22,22,30,16,3,10,10,1,0,1,3,3
Dificuldade.java,45,45,7,7,7,7,0,14,14,1,0,1,11,15
EscalaAvaliacao.java,14,14,8,8,8,8,0,8,8,1,0,1,14,3
Escolaridade.java,27,27,5,5,5,5,0,12,12,1,0,1,6,5
Etapa.java,19,19,2,2,2,2,0,7,7,1,0,1,3,13
EtapaResponsabilidade.java,17,17,2,2,2,2,0,11,11,1,0,1,11,9
ExceptionHandlingController.java,41,41,7,7,7,7,0,8,8,1,0,1,2,3
ExceptionResponse.java,21,21,14,14,14,14,0,14,14,1,0,1,3,11
ExperienciaProfissional.java,46,46,18,18,18,18,0,8,8,1,0,1,18,18
ExperienciaProfissionalControllerImpl.java,40,40,18,18,24,15,4,7,7,1,0,1,15,4
ExperienciaProfissionalRepository.java,12,12,0,0,0,0,0,12,12,1,0,1,3,5
ExperienciaProfissionalService.java,24,24,0,0,0,0,0,13,13,1,0,1,7,13
ExperienciaProfissionalServiceImpl.java,6,6,5,5,5,5,0,7,7,1,0,1,17,12
FileUploadException.java,10,10,1,1,1,1,0,12,12,1,0,1,5,3
FormacaoAcademicaController.java,2,2,0,0,0,0,0,14,14,1,0,1,17,13
GestaoCompetenciaApplication.java,3,3,2,2,2,2,0,14,14,1,0,1,8,1
GestaoCompetenciaException.java,2,2,1,1,1,1,0,15,15,1,0,1,16,10
IPermissaoNormalizacao.java,47,47,0,0,0,0,0,15,15,1,0,1,9,10
Idioma.java,45,45,10,10,11,10,1,8,8,1,0,1,6,16
IdiomaControllerImpl.java,16,16,11,11,12,6,2,9,9,1,0,1,3,4
IdiomaRepository.java,0,0,0,0,0,0,0,8,8,1,0,1,5,4
IdiomaService.java,0,0,0,0,0,0,0,10,10,1,0,1,9,7
IdiomaServiceImpl.java,10,10,5,5,5,5,0,12,12,1,0,1,7,5
Impacto.java,10,10,6,6,6,6,0,5,5,1,0,2,8,4
InvalidJwtAuthenticationException.java,40,40,1,1,1,1,0,13,13,1,0,1,9,4
ItemAvaliacao.java,34,34,13,13,13,13,0,9,9,1,0,1,16,1
ItemAvaliacaoController.java,50,50,0,0,0,0,0,6,6,1,0,1,6,18
ItemAvaliacaoControllerImpl.java,40,40,12,12,18,6,1,14,14,1,0,1,13,10
ItemAvaliacaoRepository.java,0,0,0,0,0,0,0,6,6,1,0,1,15,16
ItemAvaliacaoSearch.java,23,23,14,14,14,14,0,9,9,1,0,3,7,12
ItemAvaliacaoService.java,15,15,0,0,0,0,0,11,11,1,0,1,15,13
ItemAvaliacaoServiceImpl.java,45,45,7,7,7,7,0,14,14,1,1,1,17,15
