Class,LCOM,LCOM Modified,WMC,CC3,MaxNest,SCC,EVG,CBO,CBO Modified,IFANIN BASE CLASSES,NOC,DIT,FANIN,FANOUT
Acao.java,35,35,22,22,22,19,1,23,23,1,0,1,30,7
AcaoController.java,3,3,8,8,8,5,1,5,5,1,0,1,7,9
AcaoRepository.java,11,11,0,0,0,0,0,31,31,1,0,1,1,30
AcaoService.java,14,14,0,0,0,0,0,9,9,1,0,1,14,8
AcaoServiceImpl.java,39,39,6,6,6,6,0,20,20,1,0,1,16,4
AreaAtuacao.java,54,54,8,8,8,8,0,22,22,1,0,1,1,16
AreaAtuacaoController.java,70,70,6,6,6,4,1,15,15,1,0,1,9,30
AreaAtuacaoRepository.java,23,23,0,0,0,0,0,34,34,1,0,1,8,2
AreaAtuacaoService.java,66,66,0,0,0,0,0,8,8,1,0,1,10,27
AreaAtuacaoServiceImpl.java,41,41,5,5,5,5,0,13,13,1,0,1,17,15
AuthController.java,50,50,2,2,2,1,1,17,17,1,0,1,12,8
AuthenticationRequest.java,37,37,7,7,7,7,0,17,17,1,0,1,1,14
AvaliacaoControle.java,45,45,12,12,12,12,0,40,40,1,0,1,11,19
AvaliacaoControleController.java,45,45,9,9,9,6,1,3,3,1,0,1,7,1
AvaliacaoControleRepository.java,40,40,6,6,8,2,1,10,10,1,0,1,21,18
AvaliacaoControleService.java,57,57,12,12,8,9,1,35,35,1,1,1,11,24
AvaliacaoControleServiceImpl.java,48,48,6,6,6,6,0,27,27,1,0,1,26,16
AvaliacaoController.java,18,18,15,15,15,9,1,15,15,1,1,1,10,19
AvaliacaoRepository.java,23,23,0,0,0,0,0,17,17,2,0,1,19,22
AvaliacaoRisco.java,7,7,22,22,22,22,0,15,15,1,0,1,11,11
AvaliacaoRiscoService.java,27,27,0,0,0,0,0,28,28,1,0,1,7,8
AvaliacaoService.java,46,46,0,0,0,0,0,16,16,1,0,1,15,23
AvaliacaoServiceImpl.java,52,52,9,9,9,8,1,8,8,1,0,1,12,6
CategoriaRisco.java,10,10,8,8,8,8,0,11,11,1,0,1,21,28
CategoriaRiscoController.java,20,20,6,6,6,4,1,2,2,1,0,1,10,28
CategoriaRiscoRepository.java,16,16,0,0,0,0,0,21,21,1,0,1,13,11
CategoriaRiscoService.java,39,39,0,0,0,0,0,19,19,1,0,1,15,8
CategoriaRiscoServiceImpl.java,25,25,6,6,6,6,0,5,5,1,0,1,5,15
CorsFilter.java,44,44,5,5,8,3,1,3,3,1,0,1,18,12
ExceptionHandlingController.java,13,13,6,6,6,6,0,17,17,1,0,1,20,24
ExceptionResponse.java,26,26,14,14,14,14,0,28,28,1,0,1,26,30
FileUploadException.java,55,55,1,1,1,1,0,21,21,1,0,1,25,14
GestaoCompetenciaApplication.java,14,14,1,1,1,1,0,12,12,1,0,1,15,26
GestaoRiscosException.java,30,30,4,4,4,4,0,34,34,1,0,1,6,16
Impacto.java,34,34,16,16,17,16,1,37,37,1,0,1,14,23
ImpactoController.java,22,22,8,8,8,5,1,30,30,1,0,1,4,2
ImpactoRepository.java,43,43,0,0,0,0,0,39,39,1,0,1,17,26
ImpactoService.java,17,17,0,0,0,0,0,36,36,1,0,1,11,20
ImpactoServiceImpl.java,42,42,6,6,6,6,0,38,38,1,0,1,14,30
InvalidJwtAuthenticationException.java,32,32,1,1,1,1,0,8,8,1,0,1,6,14
JwtConfigurer.java,48,48,2,2,2,2,0,35,35,1,0,1,4,3
JwtTokenFilter.java,62,62,5,5,6,2,3,34,34,1,0,1,22,30
JwtTokenProvider.java,4,4,10,10,11,9,2,34,34,1,0,1,14,13
NivelRisco.java,51,51,35,35,36,29,2,19,19,1,0,1,18,10
NivelRiscoController.java,20,20,9,9,9,6,1,16,16,1,0,1,23,12
NivelRiscoRepository.java,61,61,0,0,0,0,0,26,26,1,0,1,9,29
NivelRiscoService.java,68,68,0,0,0,0,0,28,28,1,0,1,15,23
NivelRiscoServiceImpl.java,63,63,6,6,6,6,0,35,35,1,0,1,10,8
NotAllowedException.java,45,45,1,1,1,1,0,30,30,1,0,1,30,20
