S2 Without Co-occurences,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,COHESION,,COMPLEXITY,,,,Inheritance,,,COUPLING,,,SIZE,,,
"""ufc.quixada.npi""",LCOM,,Average Cyclomatic Complexity,Sum Cyclomatic Complexity,Essential Complexity,Nesting,DIT,NOC,Base Classes,CBO,,,LOC,CLOC,Number of Methods,Number of Classes
HorarioBloqueadoService,0,,0,0,0,0,0,1,0,5,,,,,,
OfertaService,0,,0,0,0,0,0,1,0,6,,,,,,
PeriodoService,0,,0,0,0,0,0,1,0,1,,,,,,
PreferenciaService,0,,0,0,0,0,0,1,0,4,,,,,,
ProfessorService,0,,0,0,0,0,0,1,0,3,,,,,,
RestricaoHorarioService,0,,0,0,0,0,0,1,0,1,,,,,,
ufc.quixada.npi.ap.service.impl,,,,,,,,,,,,,,,,
CheckListServiceImpl,61,,1,7,1,1,1,0,2,4,,,,,,
CompartilhamentoServiceImpl,50,,1,14,1,1,1,0,2,6,,,,,,
ConfiguracaoServiceImpl,0,,1,3,1,0,1,0,2,2,,,,,,
CursoServiceImpl,0,,1,8,1,0,1,0,2,5,,,,,,
DisciplinaServiceImpl,0,,1,10,1,1,1,0,2,4,,,,,,
HorarioBloqueadoServiceImpl,0,,1,8,1,1,1,0,2,7,,,,,,
OfertaServiceImpl,76,,1,31,1,2,1,0,2,14,,,,,,
PeriodoServiceImpl,42,,1,7,1,0,1,0,2,3,,,,,,
PreferenciaServiceImpl,0,,1,7,1,0,1,0,2,5,,,,,,
ProfessorServiceImpl,63,,1,19,1,1,1,0,2,7,,,,,,
RestricaoHorarioServiceImpl,44,,1,12,1,2,1,0,2,5,,,,,,
TurmaServiceImpl,0,,1,3,1,0,1,0,2,3,,,,,,
UserDetailsServiceImpl,0,,2,2,1,1,1,0,2,2,,,,,,
ufc.quixada.npi.ap.util,,,,,,,,,,,,,,,,
Constants,0,,0,0,0,0,1,0,1,0,,,,,,
ufc.quixada.npi.ap.validation,,,,,,,,,,,,,,,,
CompartilhamentoValidator,0,,2,25,1,1,1,0,2,5,,,,,,
CursoValidator,28,,1,7,1,1,1,0,2,3,,,,,,
DisciplinaValidator,66,,2,8,1,1,1,0,2,2,,,,,,
EmpilhamentoValidator,0,,1,6,1,1,1,0,2,3,,,,,,
OfertaValidator,0,,1,30,1,2,1,0,2,5,,,,,,
PeriodoValidator,0,,1,4,1,2,1,0,2,3,,,,,,
ProfessorValidator,77,,2,8,1,1,1,0,2,2,,,,,,
,,,,,,,,,,,,,,,,
Total,3856,,78,579,93,53,108,11,119,344,,,,,,
Total All Metrics,11614,,,803,,,,238,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
S2 - With Co-occurences,COHESION,,COMPLEXITY,,,,Inheritance,,,COUPLING,,,SIZE,,,
"""ufc.quixada.npi""",LCOM,,Average Cyclomatic Complexity,Sum Cyclomatic Complexity,Essential Complexity,Nesting,DIT,NOC,Base Classes,CBO,,,LOC,CLOC,Number of Methods,Number of Classes
AlocacaoProfessoresApplicationTests,0,,0,0,0,0,1,0,1,0,,,5082,151,640,99
ufc.quixada.npi.ap,,,,,,,,,,,,,,,,
AlocacaoProfessoresApplication,0,,1,1,1,0,1,0,1,0,,,,,,
ServletInitializer,0,,1,1,1,0,2,0,1,1,,Total Size,,,,
ufc.quixada.npi.ap.annotation,,,,,,,,,,,,5972,,,,
RestricaoDePeriodo,0,,0,0,0,0,0,0,0,0,,,,,,
RestricaoDePeriodoAjax,0,,0,0,0,0,0,0,0,0,,,,,,
ufc.quixada.npi.ap.annotation.impl,,,,,,,,,,,,,,,,
RestricaoDePeriodoAspect,66,,2,7,3,1,1,0,1,6,,,,,,
ufc.quixada.npi.ap.config,,,,,,,,,,,,,,,,
AlocacaoProfessoresSecurity,75,,1,2,1,0,2,0,1,1,,,,,,
"AuthenticationProviderAlocacaoProfessores""",50,,2,4,1,1,1,0,1,3,,,,,,
AuthenticationSuccessHandlerImpl,50,,1,7,1,2,1,0,2,0,,,,,,
LdapConfig,33,,1,3,1,0,1,0,1,1,,,,,,
MvcConfig,0,,1,4,1,0,2,0,1,4,,,,,,
ufc.quixada.npi.ap.controller,,,,,,,,,,,,,,,,
CheckListController,40,,1,6,1,1,1,0,1,6,,,,,,
CompartilhamentoController,71,,1,11,1,1,1,0,1,10,,,,,,
ConfiguracaoContoller,0,,1,2,1,0,1,0,1,3,,,,,,
CursoController,33,,2,10,1,1,1,0,1,9,,,,,,
DirecaoController,80,,1,20,1,3,1,0,1,18,,,,,,
DisciplinaController,55,,1,15,1,3,1,0,1,10,,,,,,
OfertaController,75,,1,43,1,3,1,0,1,19,,,,,,
PeriodoController,50,,1,11,1,1,1,0,1,6,,,,,,
ProfessorController,70,,1,18,1,1,1,0,1,14,,,,,,
RestricaoHorarioController,68,,1,17,1,1,1,0,1,14,,,,,,
ufc.quixada.npi.ap.exception,,,,,,,,,,,,,,,,
AlocacaoProfessorException,50,,1,2,1,0,2,0,1,0,,,,,,
AlocacaoProfessoresException,50,,1,2,1,0,2,0,1,0,,,,,,
ufc.quixada.npi.ap.formatter,,,,,,,,,,,,,,,,
DisciplinaFormatter,50,,1,2,1,0,1,0,2,2,,,,,,
OfertaFormatter,50,,1,2,1,0,1,0,2,2,,,,,,
ProfessorFormatter,50,,1,2,1,0,1,0,2,2,,,,,,
TurmaFormatter,50,,1,2,1,0,1,0,2,2,,,,,,
ufc.quixada.npi.ap.model,,,,,,,,,,,,,,,,
CeckList,77,,1,10,1,0,1,0,1,2,,,,,,
Compartilhamento,78,,1,11,1,0,1,0,1,5,,,,,,
Configuracao,87,,1,16,1,0,1,0,1,0,,,,,,
Curso,90,,1,21,1,1,1,0,1,2,,,,,,
Curso.Turno,87,,1,4,1,0,1,0,1,0,,,,,,
Disciplina,89,,1,16,1,0,1,0,1,0,,,,,,
Horario.Bloqueado,65,,2,21,9,2,1,0,1,3,,,,,,
Horario.Bloqueado.Dia,91,,1,4,1,0,1,0,1,0,,,,,,
Horario.Bloqueado.Horario,92,,1,4,1,0,1,0,1,0,,,,,,
itemCheckList,50,,1,4,1,0,1,0,1,0,,,,,,
Oferta,93,,1,38,3,2,1,0,1,7,,,,,,
Oferta.Turno,90,,1,4,1,0,1,0,1,0,,,,,,
Papel,70,,1,16,7,2,1,0,2,1,,,,,,
Papel.Tipo,83,,1,4,1,0,1,0,1,0,,,,,,
Periodo,88,,1,26,1,1,1,0,1,1,,,,,,
Periodo.Semestre,80,,1,5,1,0,1,0,1,0,,,,,,
Periodo.Status,87,,1,5,1,0,1,0,1,0,,,,,,
Preferencia,75,,1,8,1,0,1,0,1,3,,,,,,
PreferenciaNivel,87,,1,4,1,0,1,0,1,0,,,,,,
Professor,93,,1,60,10,2,1,0,2,5,,,,,,
RelatorioCargaHorariaProfessor,57,,1,7,1,0,1,0,1,1,,,,,,
RestricaoHorario,83,,1,13,1,0,1,0,1,6,,,,,,
RestricaoHorario.Tipo,83,,1,4,1,0,1,0,1,0,,,,,,
Turma,66,,1,6,1,0,1,0,1,2,,,,,,
TurmaSemestre,94,,1,5,1,0,1,0,1,0,,,,,,
ufc.quixada.npi.ap.repository,,,,,,,,,,,,,,,,
